city,hotel_name,score,url,longitude_x,latitude_x,description,id_city,latitude_y,longitude_y,Average probability of precipitation,average cloud percentage,average daily temperatures
Mont Saint Michel,Etoile des Grèves,9.3,https://www.booking.com/hotel/fr/etoile-des-greves.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&nflt=ht_id&srpvid=1d26458ad8f101a5&srepoch=1665309206&from=searchresults#hotelTmpl,-1.491524,48.615509,"Situated in Ardevon in the Lower Normandy region, Etoile des Grèves features accommodation with free WiFi and free private parking. There is a fully equipped private bathroom with shower and a hairdryer. Guests at the bed and breakfast can enjoy a continental or a buffet breakfast. Etoile des Grèves offers a terrace. After a day of hiking or cycling, guests can relax in the garden or in the shared lounge area. Mont Saint Michel Abbey is 8.1 km from the accommodation, while Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel is 21 km from the property. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 57 km from Etoile des Grèves.   Couples particularly like the location — they rated it 9.8 for a two-person trip.    Etoile des Grèves has been welcoming Booking.com guests since 19 Jan 2018.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,"Gîte de charme ""La Maison Saint-Leonard"" avec piscine, SPA, vue sur le Mont Saint-Michel",9.3,https://www.booking.com/hotel/fr/gite-de-charme-les-greves-avec-piscine-spa-vue-sur-le-mont-saint-michel.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=60&sr_order=popularity&nflt=ht_id&srpvid=2382458adae80340&srepoch=1665309206&from=searchresults#hotelTmpl,-1.456026,48.673008,"Featuring an outdoor swimming pool and a terrace, Gîte de charme ""La Maison Saint-Leonard"" avec piscine, SPA, vue sur le Mont Saint-Michel offers accommodation in Vains with free WiFi and garden views. This holiday home features a private pool, a garden and free private parking. This holiday home is fitted with 6 bedrooms, a flat-screen TV, and a kitchen. The holiday home offers a hot tub. Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel is 10 km from Gîte de charme ""La Maison Saint-Leonard"" avec piscine, SPA, vue sur le Mont Saint-Michel, while Granville Train Station is 25 km away. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 80 km from the accommodation.    Gîte de charme ""La Maison Saint-Leonard"" avec piscine, SPA, vue sur le Mont Saint-Michel has been welcoming Booking.com guests since 3 May 2022.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,Les Hirondelles de la Baie,9.3,https://www.booking.com/hotel/fr/les-hirondelles-de-la-baie.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=58&sr_order=popularity&nflt=ht_id&srpvid=2382458adae80340&srepoch=1665309206&from=searchresults#hotelTmpl,-1.45410088,48.6734324,"Set in Vains, 36 km from Le Mont Saint Michel, this detached holiday home features a terrace and a garden with a barbecue. The property is 16 km from the beach in Jullouville and boasts views of the garden. There is a dining area and a kitchen complete with a dishwasher and an oven. A flat-screen TV is provided. Other facilities at Les Hirondelles de la Baie include a sun terrace. Granville is 26 km away. A selection of activities are offered in the area, such as horse riding and cycling. Dinard Brittany Airport is 80 km from the property.    Les Hirondelles de la Baie has been welcoming Booking.com guests since 22 Apr 2017.  ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,Vent des Grèves,9.3,https://www.booking.com/hotel/fr/vent-des-greves-pontorson.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&nflt=ht_id&srpvid=1d26458ad8f101a5&srepoch=1665309206&from=searchresults#hotelTmpl,-1.49144,48.615403,"Vent des Grèves features garden views, free WiFi and free private parking, set in Pontorson, 8.1 km from Mont Saint Michel Abbey. The bed and breakfast offers a TV and a private bathroom with a hairdryer, free toiletries and shower. Vent des Grèves offers a continental or buffet breakfast. The accommodation offers a terrace. After a day of hiking or cycling, guests can relax in the garden or in the shared lounge area. Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel is 21 km from Vent des Grèves, while Granville Train Station is 45 km away. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 57 km from the bed and breakfast.   Couples particularly like the location — they rated it 9.8 for a two-person trip.    Vent des Grèves has been welcoming Booking.com guests since 23 Jan 2019.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,Au p'tit Mont,9.3,https://www.booking.com/hotel/fr/au-p-39-tit-mont.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=53&sr_order=popularity&nflt=ht_id&srpvid=2382458adae80340&srepoch=1665309206&from=searchresults#hotelTmpl,-1.46617603,48.5910988,"Au p'tit Mont is set in Ardevon, 41 km from Saint Malo and 6 km from Le Mont Saint Michel. Free WiFi is provided throughout the property and free private parking is available on site. You will find a kettle in the room. Rooms come with a private bathroom equipped with a bath or shower. Local specialities made with local products can be enjoyed every evening upon request. Car hire is available at this bed and breakfast and the area is popular for cycling. Cancale is 30 km from Au p'tit Mont, while Dinard is 44 km from the property. The nearest airport is Dinard Brittany Airport, 45 km from the property.   Couples particularly like the location — they rated it 9.5 for a two-person trip.    Au p'tit Mont has been welcoming Booking.com guests since 2 Aug 2016.  ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,Au Mont Chez Nous Jaccuzi et Sauna,9.2,https://www.booking.com/hotel/fr/26-route-de-la-rive-ardevon.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&nflt=ht_id&srpvid=1d26458ad8f101a5&srepoch=1665309206&from=searchresults#hotelTmpl,-1.4858723,48.6134553,"Located just 8.6 km from Mont Saint Michel Abbey, Au Mont Chez Nous Jaccuzi et Sauna provides accommodation in Pontorson with access to a shared lounge, a garden, as well as a shared kitchen. The accommodation is 21 km from Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel, and guests benefit from private parking available on site and free WiFi. The holiday home comes with 3 bedrooms, 2 bathrooms, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a terrace with garden views. For added convenience, the property can provide towels and bed linen for an extra charge. The holiday home offers a barbecue. A bicycle rental service is available at Au Mont Chez Nous Jaccuzi et Sauna. Granville Train Station is 46 km from the accommodation, while Champrepus Zoo is 47 km away. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 57 km from Au Mont Chez Nous Jaccuzi et Sauna.    Au Mont Chez Nous Jaccuzi et Sauna has been welcoming Booking.com guests since 22 Apr 2019.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,Tranquil Holiday Home in Vains overlooking Mont Saint Michel,9.2,https://www.booking.com/hotel/fr/tranquil-holiday-home-in-vains-overlooking-mont-saint-michel-vains.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=59&sr_order=popularity&nflt=ht_id&srpvid=2382458adae80340&srepoch=1665309206&from=searchresults#hotelTmpl,-1.453055,48.672205,"You're eligible for a Genius discount at Tranquil Holiday Home in Vains overlooking Mont Saint Michel! To save at this property, all you have to do is sign in. Boasting a garden and a terrace, Tranquil Holiday Home in Vains overlooking Mont Saint Michel offers accommodation in Vains with free WiFi and sea views. The property is 26 km from Champrepus Zoo and 27 km from Granville's Marina. The holiday home has 3 bedrooms, a TV, an equipped kitchen with a dishwasher and a microwave, a washing machine, and 2 bathrooms with a shower. Towels and bed linen are offered in this accommodation. The holiday home features a children's playground. Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel is 10 km from Tranquil Holiday Home in Vains overlooking Mont Saint Michel, while Granville Train Station is 25 km from the property. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 79 km from the accommodation.    Tranquil Holiday Home in Vains overlooking Mont Saint Michel has been welcoming Booking.com guests since 6 Oct 2021.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,Gites Bellevue,9.2,https://www.booking.com/hotel/fr/gites-bellevue.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&nflt=ht_id&srpvid=1d26458ad8f101a5&srepoch=1665309206&from=searchresults#hotelTmpl,-1.51722372,48.60788007,"You're eligible for a Genius discount at Gites Bellevue! To save at this property, all you have to do is sign in. Located just 2 km from the famous Mont Saint-Michel, Gites Bellevue offers self-catering cottages with a terrace, garden and BBQ facilities. The sea is only a 10-minute drive away. The cottages feature views of the Mont Saint-Michel, a living area with a TV and a washing machine. The kitchen includes an oven, stove and microwave. Grocery shops and restaurants can be found 7 km away in the centre of Pontorson and both free Wi-Fi access and free private parking are available. Saint-Malo is a 45-minute drive away and Avranches is 25 km from the property.   Couples particularly like the location — they rated it 9.6 for a two-person trip.    Gites Bellevue has been welcoming Booking.com guests since 17 Dec 2013.  ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,Le Pélican,9.2,https://www.booking.com/hotel/fr/le-pelican-gite-plein-de-charme-face-au-mont.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=54&sr_order=popularity&nflt=ht_id&srpvid=2382458adae80340&srepoch=1665309206&from=searchresults#hotelTmpl,-1.45443128,48.60903076,"Le Pélican, a property with a terrace, is situated in Huisnes-sur-Mer, 19 km from Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel, 44 km from Granville Train Station, as well as 45 km from Champrepus Zoo. The accommodation is 12 km from Mont Saint Michel Abbey, and guests benefit from private parking available on site and free WiFi. The holiday home has 4 bedrooms, a flat-screen TV and a fully equipped kitchen that provides guests with a dishwasher, a microwave, a washing machine, a fridge and an oven. For added convenience, the property can provide towels and bed linen for an extra charge. Guests at the holiday home can enjoy a buffet breakfast. Granville's Marina is 46 km from Le Pélican, while Museum of Modern Art Richard Anacreon is 46 km from the property. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 57 km from the accommodation.    Le Pélican has been welcoming Booking.com guests since 21 Jan 2022.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,Maison au pied du Mont Saint Michel,9.2,https://www.booking.com/hotel/fr/maison-au-pied-du-mont-saint-michel.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&nflt=ht_id&srpvid=1d26458ad8f101a5&srepoch=1665309206&from=searchresults#hotelTmpl,-1.48553065,48.61267358,"Boasting garden views, Maison au pied du Mont Saint Michel offers accommodation with a terrace and a kettle, around 21 km from Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel. Situated 8.7 km from Mont Saint Michel Abbey, the property features a garden and free private parking. This holiday home features 1 bedroom, a kitchen with microwave, a flat-screen TV, a seating area and 1 bathroom with a shower. A barbecue is available on site and hiking can be enjoyed within close proximity of the holiday home. Granville Train Station is 46 km from Maison au pied du Mont Saint Michel, while Champrepus Zoo is 47 km from the property. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 58 km from the accommodation.   Couples particularly like the location — they rated it 9.0 for a two-person trip.    Maison au pied du Mont Saint Michel has been welcoming Booking.com guests since 3 Jan 2022.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
